Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","u.FL","U.FL_Molex_MCRF_73412-0110_Vertical",155.900000,-106.450000,180.000000,top
"C1","10u","C_0603",179.350000,-111.050000,90.000000,top
"C2","DNP","C_0402",184.650000,-100.800000,0.000000,top
"C3","100n","C_0402",169.250000,-101.150000,180.000000,top
"C4","10u","C_0603",168.900000,-100.150000,180.000000,top
"C5","100n","C_0402",184.650000,-96.550000,0.000000,top
"C6","10u","C_0603",170.260000,-61.910000,0.000000,top
"C7","10n","C_0402",187.050000,-77.000000,180.000000,top
"C8","10u","C_0603",163.400000,-77.500000,0.000000,top
"C9","10u","C_0603",164.350000,-83.250000,180.000000,top
"C10","10u","C_0603",164.350000,-82.100000,180.000000,top
"C11","100n","C_0402",171.450000,-84.450000,90.000000,top
"C12","10u","C_0603",169.050000,-83.250000,0.000000,top
"C13","10u","C_0603",166.700000,-83.250000,180.000000,top
"C16","100n","C_0402",171.850000,-59.750000,270.000000,top
"C17","100n","C_0402",192.500000,-77.000000,0.000000,top
"C18","3.3n","C_0402",190.700000,-83.200000,180.000000,top
"C19","100n","C_0402",168.650000,-90.450000,90.000000,top
"C20","10u","C_0603",160.300000,-83.250000,0.000000,top
"C21","10u","C_0603",155.300000,-77.500000,0.000000,top
"C22","10u","C_0603",156.250000,-82.100000,180.000000,top
"C23","10u","C_0603",156.250000,-83.250000,180.000000,top
"C31","10u","C_0603",155.000000,-84.450000,180.000000,top
"C35","10u","C_0603",183.000000,-93.700000,90.000000,top
"C36","10u","C_0603",187.200000,-94.850000,0.000000,top
"C37","10u","C_0603",186.900000,-90.150000,0.000000,top
"C38","1u 25V","C_0603",175.150000,-63.100000,270.000000,top
"C39","100n","C_0402",182.150000,-67.500000,90.000000,top
"C40","1u","C_0402",175.450000,-65.700000,180.000000,top
"C41","1u","C_0402",175.450000,-64.700000,180.000000,top
"C42","100n","C_0402",126.500000,-100.500000,90.000000,top
"C43","100n","C_0402",133.950000,-93.450000,90.000000,top
"C44","10u","C_0603",132.300000,-93.700000,180.000000,top
"C45","1u","C_0402",132.850000,-86.900000,180.000000,top
"C46","1u","C_0402",132.850000,-86.100000,180.000000,top
"C47","1u","C_0402",134.350000,-92.200000,180.000000,top
"C48","100n 50V","C_0603",130.000000,-86.300000,0.000000,top
"C49","100n 50V","C_0603",130.000000,-93.700000,0.000000,top
"C50","470n 25V","C_0603",125.800000,-93.200000,90.000000,top
"C51","680n 50V","C_1206_3216Metric",110.200000,-93.100000,270.000000,top
"C52","470n 25V","C_0603",125.200000,-90.100000,0.000000,top
"C53","680n 50V","C_1206_3216Metric",110.250000,-84.900000,270.000000,top
"C54","22u 50V","C_1206_3216Metric",130.000000,-84.700000,180.000000,top
"C55","22u 50V","C_1206_3216Metric",130.000000,-95.300000,180.000000,top
"C56","470n 25V","C_0603",127.600000,-86.300000,180.000000,top
"C57","680n 50V","C_1206_3216Metric",137.150000,-72.400000,90.000000,top
"C58","470u 35V","CP_Elec_10x10.5",141.000000,-82.000000,0.000000,top
"C59","470u 35V","CP_Elec_10x10.5",141.000000,-94.000000,0.000000,top
"C60","470n 25V","C_0603",125.800000,-88.300000,270.000000,top
"C61","680n 50V","C_1206_3216Metric",110.250000,-73.900000,270.000000,top
"C62","100n","C_0402",133.950000,-113.450000,90.000000,top
"C63","10u","C_0603",132.300000,-113.700000,180.000000,top
"C64","1u","C_0402",132.850000,-106.900000,180.000000,top
"C65","1u","C_0402",132.850000,-106.100000,180.000000,top
"C66","1u","C_0402",134.250000,-112.200000,180.000000,top
"C67","100n 50V","C_0603",130.000000,-106.300000,0.000000,top
"C68","100n 50V","C_0603",130.000000,-113.700000,0.000000,top
"C69","470n 25V","C_0603",127.600000,-113.700000,180.000000,top
"C70","680n 50V","C_1206_3216Metric",137.050000,-127.600000,270.000000,top
"C71","470n 25V","C_0603",125.800000,-111.700000,90.000000,top
"C72","680n 50V","C_1206_3216Metric",110.250000,-126.100000,90.000000,top
"C73","22u 50V","C_1206_3216Metric",130.000000,-104.700000,180.000000,top
"C74","22u 50V","C_1206_3216Metric",130.000000,-115.300000,180.000000,top
"C75","470n 25V","C_0603",125.800000,-106.800000,270.000000,top
"C76","680n 50V","C_1206_3216Metric",110.250000,-106.900000,90.000000,top
"C77","470u 35V","CP_Elec_10x10.5",141.000000,-106.000000,0.000000,top
"C78","470u 35V","CP_Elec_10x10.5",141.000000,-118.000000,0.000000,top
"C79","470n 25V","C_0603",125.200000,-109.900000,0.000000,top
"C80","680n 50V","C_1206_3216Metric",110.250000,-115.100000,90.000000,top
"C81","10u","C_0603",161.200000,-100.600000,270.000000,top
"C82","100n","C_0402",162.200000,-100.250000,270.000000,top
"C83","10u","C_0603",166.600000,-89.300000,270.000000,top
"C84","100n","C_0402",168.600000,-103.200000,0.000000,top
"C85","18p","C_0402",155.900000,-100.250000,90.000000,top
"C86","DNP","C_0402",155.400000,-103.850000,0.000000,top
"C87","DNP","C_0402",155.400000,-101.450000,0.000000,top
"C88","10u","C_0603",165.000000,-85.200000,90.000000,top
"C89","100n","C_0402",164.000000,-85.550000,90.000000,top
"C90","100n","C_0402",159.900000,-71.800000,90.000000,top
"C91","100n","C_0402",158.250000,-71.800000,90.000000,top
"C92","1u 25V","C_0603",188.950000,-87.850000,0.000000,top
"C93","100n","C_0402",153.900000,-71.800000,90.000000,top
"C94","100n","C_0402",153.000000,-71.800000,90.000000,top
"C95","1u 25V","C_0603",188.950000,-89.025000,180.000000,top
"C96","1n 2kV","C_1206_3216Metric",147.770000,-67.110000,270.000000,top
"C97","10u","C_0603",168.900000,-102.150000,0.000000,top
"C98","100n","C_0402",173.100000,-84.450000,90.000000,top
"C100","100n","C_0402",184.450000,-89.950000,0.000000,top
"C101","10u","C_0603",189.450000,-135.450000,0.000000,top
"C102","100n","C_0402",174.700000,-84.450000,90.000000,top
"C103","100n","C_0402",184.450000,-111.200000,0.000000,top
"C104","100n","C_0402",184.450000,-94.000000,0.000000,top
"C105","18p","C_0402",183.910000,-84.100000,0.000000,top
"C106","18p","C_0402",183.910000,-86.700000,0.000000,top
"C107","10u","C_0603",174.600000,-85.900000,180.000000,top
"C108","100n","C_0402",184.450000,-93.200000,0.000000,top
"C109","18p","C_0402",180.270000,-85.100000,270.000000,top
"C110","100n","C_0402",175.150000,-137.250000,270.000000,top
"C111","100n","C_0402",186.150000,-88.900000,180.000000,top
"C112","470n 25V","C_0603",189.450000,-136.650000,180.000000,top
"C113","18p","C_0402",175.500000,-84.450000,90.000000,top
"C115","22u 50V","C_1206_3216Metric",184.400000,-80.800000,270.000000,top
"C116","470u 35V","CP_Elec_10x10.5",188.350000,-69.950000,90.000000,top
"C117","18p","C_0402",167.000000,-101.950000,270.000000,top
