"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J10";"Molex_502250-3391_2Rows-33Pins-1MP_P0.60mm_Horizontal";1;"FH26W-33S-0.3SHW";;;
2;"IC1";"MICRON_EMMC_153";1;"EMMC04G-S100-B08U";;;
3;"U1";"FBGA-234(Pitch-0.65mm_Pad-0.3mm_11x11x1.08mm)";1;"AllWinner-S3(FBGA-234)";;;
4;"JP11";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";1;"GNDA";;;
5;"U8";"SOT-23-6";1;"AP3019A";;;
6;"SW1";"SW_SPST_EVQP7C";1;"CONFIG";;;
7;"R85,R84,R36,R8,R7,R63,R62,R28,R79,R77,R6,R5";"R_0402";12;"2.2k";;;
8;"R83";"R_0402";1;"10R";;;
9;"R82,R44,R43,R42,R39,R38,R37,R65";"R_0402";8;"10k";;;
10;"R61,R20,R18,R4,R2,R1,R58,R57,R52,R51,R50,R49,R48,R47,R15,R14,R13,R11,R10,R9";"R_0402";20;"47k";;;
11;"L12";"Inductor_4040";1;"22u";;;
12;"JP10,JP9";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";2;"JMP";;;
13;"J7";"TE_1-84952-0_1x10-1MP_P1.0mm_Horizontal";1;"AFA07-S10FCC-00";;;
14;"D8,D6,D5";"SOT-23";3;"ESD5302F";;;
15;"C112,C79,C75,C71,C69,C60,C56,C52,C50";"C_0603";9;"470n 25V";;;
16;"C110,C120,C119,C42,C62,C43,C39,C11,C5,C3,C111,C108,C104,C103,C102,C100,C98,C94,C93,C91,C90,C89,C84,C82,C29,C19,C17,C16";"C_0402";28;"100n";;;
17;"R60,R41,R40,R32,R31";"R_0402";5;"0R";;;
18;"J1";"RJ45_Hanrun_HR911105A";1;"HR911105A";;;
19;"J2";"SUNTECH_ST-TF-003A";1;"Micro_SD_Card";;;
20;"D7,D2,D1";"LED_0603_1608Metric";3;"LED";;;
21;"C127,C126,C125,C124,C123,C63,C44,C37,C36,C23,C22,C21,C13,C12,C10,C9,C8,C4,C107,C101,C97,C88,C83,C81,C35,C31,C20,C6,C1";"C_0603";29;"10u";;;
22;"JP8,JP7,JP6,JP5,JP4,JP3,JP2,JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";8;"PBTL";;;
23;"Y3";"Oscillator_3225";1;"26MHz";;;
24;"C118,C117,C113,C109,C106,C105,C85";"C_0402";7;"18p";;;
25;"U10,U9";"Texas_S-PVQFN-N32_EP3.45x3.45mm";2;"TAS5825MRHB";;;
26;"L11,L10,L9,L8,L7,L6,L5,L4";"L_10.4x10.4_H4.8";8;"10u";;;
27;"L1";"L_10.4x10.4_H4.8";1;"15uH";;;
28;"U7";"QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm";1;"STUSB4500";;;
29;"C116,C78,C77,C59,C58";"CP_Elec_10x10.5";5;"470u 35V";;;
30;"C115,C74,C73,C55,C54";"C_1206_3216Metric";5;"22u 50V";;;
31;"C68,C67,C49,C48";"C_0603";4;"100n 50V";;;
32;"J6,J5";"C475204";2;" C475204";;;
33;"U4";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"MP2303";;;
34;"U2";"VSSOP-8_3.0x3.0mm_P0.65mm";1;"LM75B";;;
35;"R78,R35,R34,R33,R26,R24,R23,R17,R16";"R_0402";9;"100k";;;
36;"R46,R30";"R_0402";2;"1k";;;
37;"R45,R71,R68";"R_0402";3;"DNP";;;
38;"R29";"R_0402";1;"22k";;;
39;"R27,R56,R55,R54";"R_0402";4;"100R";;;
40;"R22,R75";"R_0402";2;"5.6k";;;
41;"R21";"R_0402";1;"15k";;;
42;"R19";"R_0402";1;"68k";;;
43;"R3,R64,R59,R53,R25,R12";"R_0402";6;"22";;;
44;"L13";"Inductor_4040";1;"2.2uH";;;
45;"L3,L2";"Inductor_4040";2;"2u2";;;
46;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"UART1";;;
47;"H2,H1";"MountingHole_3.2mm_M3_Pad_Via";2;"3.2mm";;;
48;"D4,D3";"D_SMA";2;"SMAJ22A ";;;
49;"C96";"C_1206_3216Metric";1;"1n 2kV";;;
50;"C95,C92,C38";"C_0603";3;"1u 25V";;;
51;"C80,C76,C72,C70,C61,C57,C53,C51";"C_1206_3216Metric";8;"680n 50V";;;
52;"C66,C65,C64,C47,C46,C45,C41,C40";"C_0402";8;"1u";;;
53;"C7";"C_0402";1;"10n";;;
54;"C2,C87,C86";"C_0402";3;"DNP";;;
55;"AE1";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"u.FL";;;
56;"Y2";"Oscillator_3225";1;"24MHz";;;
57;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz";;;
58;"U11";"LGA_44_12x12mm_0.9mm";1;"AP6236";;;
59;"U6";"SOT-23-5";1;"MIC5501-3.0YM5";;;
60;"U5,U3";"SOT-23-5";2;"SY8089AAAC";;;
61;"R81,R80";"R_0402";2;"240";;;
62;"R76";"R_0402";1;"10M";;;
63;"R74";"R_0402";1;"6k04";;;
64;"R73,R72";"R_0402";2;"200k";;;
65;"R70,R69,R67,R66";"R_0402";4;"51";;;
66;"Q1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"IRF8736";;;
67;"J9";"PJ-3270";1;"PJ-3270";;;
68;"J3";"USB-C 16Pin";1;"USB";;;
69;"FB1";"R_0805";1;"FERRET";;;
70;"C18";"C_0402";1;"3.3n";;;
